month,day,release
1,1,179.398
1,2,174.132
1,3,174.132
1,4,175.521
1,5,237.616
1,6,228.935
1,7,233.681
1,8,156.539
1,9,167.998
1,10,169.213
1,11,167.998
1,12,185.012
1,13,186.806
1,14,186.227
1,15,183.97
1,16,184.722
1,17,183.854
1,18,184.144
1,19,181.771
1,20,181.076
1,21,181.655
1,22,181.076
1,23,179.514
1,24,174.537
1,25,174.19
1,26,173.669
1,27,174.421
1,28,171.181
1,29,168.981
1,30,169.329
1,31,174.248
2,1,193.056
2,2,193.634
2,3,197.627
2,4,198.206
2,5,174.711
2,6,174.19
2,7,175.868
2,8,175.752
2,9,175.231
2,10,173.032
2,11,176.678
2,12,174.016
2,13,174.595
2,14,174.306
2,15,198.032
2,16,186.111
2,17,149.132
2,18,148.148
2,19,147.685
2,20,145.602
2,21,144.271
2,22,145.081
2,23,145.602
2,24,146.412
2,25,146.181
2,26,145.891
2,27,145.544
2,28,141.782
2,29,81.944
3,1,139.352
3,2,139.352
3,3,140.451
3,4,139.641
3,5,140.046
3,6,140.509
3,7,151.852
3,8,150.752
3,9,153.183
3,10,146.065
3,11,146.354
3,12,145.891
3,13,144.502
3,14,143.345
3,15,136.69
3,16,148.206
3,17,159.838
3,18,143.981
3,19,146.586
3,20,146.933
3,21,168.056
3,22,165.567
3,23,168.692
3,24,167.824
3,25,146.181
3,26,145.66
3,27,145.602
3,28,148.148
3,29,146.875
3,30,145.602
3,31,145.891
4,1,145.833
4,2,134.491
4,3,134.433
4,4,133.449
4,5,127.315
4,6,103.993
4,7,103.704
4,8,104.398
4,9,104.803
4,10,112.674
4,11,135.127
4,12,134.201
4,13,139.12
4,14,137.384
4,15,137.905
4,16,138.889
4,17,142.303
4,18,138.715
4,19,138.542
4,20,139.583
4,21,141.667
4,22,154.572
4,23,167.94
4,24,191.146
4,25,191.262
4,26,188.426
4,27,168.981
4,28,169.734
4,29,186.516
4,30,179.456
5,1,178.704
5,2,180.556
5,3,175.347
5,4,176.736
5,5,174.653
5,6,197.338
5,7,198.148
5,8,197.627
5,9,198.206
5,10,168.519
5,11,169.039
5,12,171.701
5,13,163.715
5,14,195.081
5,15,204.688
5,16,194.502
5,17,196.354
5,18,209.491
5,19,212.558
5,20,186.806
5,21,177.894
5,22,156.597
5,23,177.373
5,24,166.667
5,25,164.641
5,26,150.637
5,27,151.562
5,28,175.405
5,29,174.074
5,30,174.479
5,31,203.993
6,1,183.275
6,2,185.822
6,3,151.505
6,4,182.812
6,5,142.188
6,6,168.229
6,7,168.808
6,8,169.097
6,9,191.319
6,10,140.625
6,11,169.213
6,12,168.287
6,13,150.405
6,14,153.877
6,15,127.894
6,16,128.646
6,17,116.551
6,18,103.299
6,19,103.241
6,20,101.852
6,21,104.688
