Sbswat,SB_CODE,SB_NAME_T,MB_CODE,MBASIN_T,fraction
1,605,แม่น้ำปิงส่วนที่ 2/1,6,ปิง,0.017808559
1,606,น้ำแม่ริม,6,ปิง,0.001165297
2,603,แม่น้ำปิงตอนบนส่วนที่ 2,6,ปิง,0.016865893
2,605,แม่น้ำปิงส่วนที่ 2/1,6,ปิง,0.000106357
3,602,น้ำแม่งัด,6,ปิง,0.016469155
4,602,น้ำแม่งัด,6,ปิง,0.048502699
5,603,แม่น้ำปิงตอนบนส่วนที่ 2,6,ปิง,0.000378307
5,605,แม่น้ำปิงส่วนที่ 2/1,6,ปิง,0.282400512
5,608,น้ำแม่กวง,6,ปิง,1.02E-05
6,603,แม่น้ำปิงตอนบนส่วนที่ 2,6,ปิง,0.000279048
6,605,แม่น้ำปิงส่วนที่ 2/1,6,ปิง,0.068138708
7,610,น้ำแม่ขาน,6,ปิง,5.78E-05
7,606,น้ำแม่ริม,6,ปิง,0.064266042
8,603,แม่น้ำปิงตอนบนส่วนที่ 2,6,ปิง,0.11734387
8,605,แม่น้ำปิงส่วนที่ 2/1,6,ปิง,0.000559424
9,604,แม่น้ำแม่แตง,6,ปิง,2.35E-05
9,605,แม่น้ำปิงส่วนที่ 2/1,6,ปิง,0.068819145
10,603,แม่น้ำปิงตอนบนส่วนที่ 2,6,ปิง,0.057863486
10,602,น้ำแม่งัด,6,ปิง,0.000103452
11,604,แม่น้ำแม่แตง,6,ปิง,0.007106314
11,605,แม่น้ำปิงส่วนที่ 2/1,6,ปิง,0.062307192
12,604,แม่น้ำแม่แตง,6,ปิง,0.000347135
12,601,แม่น้ำปิงตอนบนส่วนที่ 1,6,ปิง,0.000148792
12,603,แม่น้ำปิงตอนบนส่วนที่ 2,6,ปิง,0.125222323
13,604,แม่น้ำแม่แตง,6,ปิง,0.008536482
13,605,แม่น้ำปิงส่วนที่ 2/1,6,ปิง,0.247027341
13,606,น้ำแม่ริม,6,ปิง,0.001046798
14,601,แม่น้ำปิงตอนบนส่วนที่ 1,6,ปิง,3.23E-05
14,602,น้ำแม่งัด,6,ปิง,0.023374703
15,601,แม่น้ำปิงตอนบนส่วนที่ 1,6,ปิง,2.52E-05
15,602,น้ำแม่งัด,6,ปิง,0.024912533
16,602,น้ำแม่งัด,6,ปิง,0.01294196
17,607,แม่น้ำปิงส่วนที่ 2/2,6,ปิง,0.011364201
18,607,แม่น้ำปิงส่วนที่ 2/2,6,ปิง,0.00069207
19,607,แม่น้ำปิงส่วนที่ 2/2,6,ปิง,0.005579431
19,608,น้ำแม่กวง,6,ปิง,0.000406312
20,607,แม่น้ำปิงส่วนที่ 2/2,6,ปิง,0.000408977
20,608,น้ำแม่กวง,6,ปิง,7.45E-07
21,607,แม่น้ำปิงส่วนที่ 2/2,6,ปิง,0.001449606
21,608,น้ำแม่กวง,6,ปิง,2.99E-05
22,607,แม่น้ำปิงส่วนที่ 2/2,6,ปิง,0.000576362
22,608,น้ำแม่กวง,6,ปิง,7.12E-06
23,607,แม่น้ำปิงส่วนที่ 2/2,6,ปิง,0.012968229
23,608,น้ำแม่กวง,6,ปิง,8.05E-05
24,605,แม่น้ำปิงส่วนที่ 2/1,6,ปิง,1.06E-05
24,607,แม่น้ำปิงส่วนที่ 2/2,6,ปิง,0.010109544
24,608,น้ำแม่กวง,6,ปิง,0.000203258
24,606,น้ำแม่ริม,6,ปิง,1.63E-05
25,605,แม่น้ำปิงส่วนที่ 2/1,6,ปิง,0.009371025
25,607,แม่น้ำปิงส่วนที่ 2/2,6,ปิง,5.39E-06
25,608,น้ำแม่กวง,6,ปิง,3.12E-05
25,606,น้ำแม่ริม,6,ปิง,0.000684912
26,605,แม่น้ำปิงส่วนที่ 2/1,6,ปิง,0.016598742
26,608,น้ำแม่กวง,6,ปิง,0.000105277
26,606,น้ำแม่ริม,6,ปิง,0.000408051
27,607,แม่น้ำปิงส่วนที่ 2/2,6,ปิง,1.97E-05
27,610,น้ำแม่ขาน,6,ปิง,0.007226128
28,610,น้ำแม่ขาน,6,ปิง,0.002533708
29,607,แม่น้ำปิงส่วนที่ 2/2,6,ปิง,5.19E-07
