Sbswat,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
1,0.0,-0.7419372986943031,-1.5284225287246058,-2.4224923932859044,-3.548887210304449,-5.287473222507475
2,0.0,-0.4741590593920508,-0.9767879170504944,-1.5481722196825607,-2.268031307346049,-3.379131004947346
3,0.0,-0.08354836305183004,-0.17211319683106266,-0.2727929628564736,-0.3996344672229229,-0.5954138351021229
4,0.0,-0.021985832528718895,-0.04529175418030275,-0.07178573196766051,-0.10516419649797709,-0.15668372647488732
5,0.0,-0.01206706662684506,-0.024858672721466787,-0.03940006408122478,-0.057720050593583816,-0.08599687840999867
6,0.0,-0.0030526205813102662,-0.0062885287966165425,-0.009967082327342357,-0.014601511688372164,-0.02175473535372642
7,0.0,-0.01073622525115046,-0.0221170826378436,-0.03505474660633306,-0.05135427555375455,-0.07651253498937016
8,0.0,-0.005769864444482542,-0.011886167227545957,-0.018839129332961092,-0.027598825626168385,-0.04111938273138291
9,0.0,-0.0030155159458135966,-0.006212091662490749,-0.009845932336090381,-0.014424030159152813,-0.021490306315093632
10,0.0,-0.005194492279232055,-0.010700875988896096,-0.01696048716726773,-0.024846664598523433,-0.03701894874310382
11,0.0,-0.005241425313107157,-0.010797560043522196,-0.017113727768267775,-0.0250711580212874,-0.0373534206186954
12,0.0,-0.006821058636322677,-0.014051672166710506,-0.02227137345666335,-0.0326269723840319,-0.04861079898824399
13,0.0,-0.014303084667120554,-0.029464965400654273,-0.04670086524508334,-0.06841553097866322,-0.10193203294907738
14,0.0,-0.013522828573207335,-0.027857604516910658,-0.04415325851922369,-0.06468335458407594,-0.09637147788529393
15,0.0,-0.013952682247531526,-0.02874312144812352,-0.04555676964894975,-0.06673946122515753,-0.09943486315597037
16,0.0,-0.0071384956373182675,-0.014705605948751489,-0.023307833979153068,-0.03414535960474881,-0.050873038190331635
17,0.0,-0.8219383138201917,-1.693228037295791,-2.683702944283512,-3.9315537508480842,-5.857606609784233
18,0.0,-0.8206241926424869,-1.6905208915342655,-2.679412219767508,-3.9252679530474426,-5.848241424140552
19,0.0,-0.8270824306860454,-1.703825137781236,-2.700498951169316,-3.956159456189583,-5.894266554269458
