Sbswat,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,-0.16566666666666674,-0.33133333333333337,-0.497,-0.6626666666666667,-0.8283333333333334
4,0.0,-0.9241666666666664,-1.8483333333333332,-2.7725,-3.6966666666666663,-4.620833333333334
5,0.0,-0.8301666666666669,-1.6603333333333334,-2.4905,-3.320666666666667,-4.150833333333333
6,0.0,-0.25316666666666676,-0.5063333333333333,-0.7595,-1.0126666666666666,-1.2658333333333331
7,0.0,-0.4626666666666668,-0.9253333333333333,-1.388,-1.8506666666666667,-2.313333333333333
8,0.0,-0.3541666666666665,-0.7083333333333333,-1.0625,-1.4166666666666665,-1.7708333333333333
9,0.0,-0.25349999999999984,-0.5069999999999999,-0.7605,-1.0139999999999998,-1.2674999999999998
10,0.0,-0.21416666666666662,-0.42833333333333334,-0.6425,-0.8566666666666667,-1.0708333333333333
11,0.0,-0.4249999999999998,-0.8499999999999999,-1.275,-1.6999999999999997,-2.125
12,0.0,-0.528833333333333,-1.0576666666666665,-1.5865,-2.115333333333333,-2.6441666666666666
13,0.0,-1.0405000000000006,-2.0810000000000004,-3.1215,-4.162000000000001,-5.202500000000001
14,0.0,-0.4218333333333333,-0.8436666666666668,-1.2655,-1.6873333333333336,-2.109166666666667
15,0.0,-0.5075000000000003,-1.0150000000000001,-1.5225,-2.0300000000000002,-2.5375
16,0.0,-0.3068333333333333,-0.6136666666666666,-0.9204999999999999,-1.2273333333333332,-1.5341666666666667
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,-0.0605,-0.121,-0.1815,-0.242,-0.3025
28,0.0,-0.0049999999999999975,-0.009999999999999998,-0.015,-0.019999999999999997,-0.024999999999999998
29,0.0,-0.05349999999999999,-0.10700000000000001,-0.1605,-0.21400000000000002,-0.2675
30,0.0,-0.005166666666666667,-0.010333333333333333,-0.0155,-0.020666666666666667,-0.025833333333333333
31,0.0,-0.05183333333333334,-0.10366666666666666,-0.1555,-0.20733333333333331,-0.25916666666666666
32,0.0,-0.063,-0.126,-0.189,-0.252,-0.315
