SB_CODE,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
601,0.0,-7.161634438748954,-14.75327286812134,-23.38338425887918,-34.25603876403039,-51.03793863836273
602,0.0,-4.370303646534314,-9.003012198585443,-14.269436728293059,-20.904346962509184,-31.14530506276378
603,0.0,-8.565155822902367,-17.644586873849317,-27.966008535767898,-40.969461985071504,-61.04024172918695
604,0.0,-6.512006081568235,-13.41501070208557,-21.26228890957862,-31.148690242387126,-46.40831218715255
605,0.0,-20.53188693100313,-42.29656414065984,-67.038468072293,-98.20958059540344,-146.32207134791915
606,0.0,-6.9826431960382065,-14.384543262149286,-22.79896166050779,-33.399875132507134,-49.762343780735335
607,0.0,-57.9804077387833,-119.44211669712533,-189.3112759717039,-277.33600647187023,-413.20183509900124
608,0.0,-12.438093937261362,-25.62300483013737,-40.611501811564786,-59.49477479053054,-88.64103307387342
609,0.0,-20.097265243264502,-41.4012248981375,-65.61938894747101,-96.13066725373564,-143.2247064629306
610,0.0,-17.553136791615934,-36.16021160993633,-57.312579419890874,-83.96141125418335,-125.09377938002925
611,0.0,-55.37863104003082,-114.0823455573238,-180.816239702671,-264.8910032801986,-394.6600733493122
612,0.0,-14.548330004451634,-29.970181271727405,-47.501613455503424,-69.58860590369092,-103.67979270770515
613,0.0,-22.458056450093647,-46.26455563037411,-73.32758578667078,-107.42297151564495,-160.0490665699204
614,0.0,-1.3797659711792525,-2.8423768402387064,-4.505060704696638,-6.599794641607421,-9.833008313204155
615,0.0,-85.6195719237199,-176.37997558320498,-279.55564717749303,-409.5416206821906,-610.1744644270138
616,0.0,-4.153736915046026,-8.556875480615513,-13.562326760115909,-19.868449582893962,-29.601925594383527
617,0.0,-52.07238294543004,-107.2713332490954,-170.02104060217874,-249.07632244709947,-371.0978420152991
618,0.0,-155.6271857240918,-320.59865053464074,-508.1368388792122,-744.4070138593577,-1109.0891085519856
619,0.0,-64.35016710285173,-132.56409308479317,-210.10911648150588,-307.80429210684474,-458.5964151135114
620,0.0,-24.72393737650782,-50.93236713066335,-80.7258919750642,-118.26129417980486,-176.1970412638598
621,0.0,-34.07879412543802,-70.20377164586829,-111.2703454678924,-163.0081097515984,-242.86514737930935
622,0.0,-69.0903369185537,-142.3290453914764,-225.58619970892937,-330.4778092129677,-492.3775998777366
623,0.0,-2.9423414495548506,-6.061349074395009,-9.607010986696977,-14.07401670875728,-20.96882263956001
624,0.0,-46.95463545012433,-96.72855479340265,-153.31113209649484,-224.59674895265326,-334.62582087738747
625,0.0,-3.2733362024363424,-6.743212404468874,-10.687738795480906,-15.657254331729241,-23.32768220320686
626,0.0,-29.411255024104946,-60.58844171335892,-96.03040809280336,-140.68200503969348,-209.6015709871568
627,0.0,-1.3002755310443619,-2.6786231379592635,-4.245517227229464,-6.219570319642961,-9.266513577869732
628,0.0,-31.51170756907906,-64.91546368125992,-102.8885756517231,-150.7290389141576,-224.5706075974517
629,0.0,-37.47153220355929,-77.19295701475072,-122.34794218816,-179.23649561998218,-267.0437562329384
630,0.0,-51.597997567103036,-106.29407910537121,-168.47212943070153,-246.80720859494116,-367.71709813105525
