Sbswat,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
1,0.0,-0.0005,-0.001,-0.0015,-0.002,-0.0025
2,0.0,-0.002333333333333333,-0.004666666666666666,-0.006999999999999999,-0.009333333333333332,-0.011666666666666667
3,0.0,-0.054333333333333345,-0.10866666666666666,-0.163,-0.21733333333333332,-0.27166666666666667
4,0.0,-0.24416666666666664,-0.4883333333333334,-0.7325,-0.9766666666666668,-1.2208333333333334
5,0.0,-0.21433333333333326,-0.42866666666666664,-0.643,-0.8573333333333333,-1.0716666666666668
6,0.0,-0.060166666666666646,-0.12033333333333332,-0.1805,-0.24066666666666664,-0.30083333333333334
7,0.0,-0.15416666666666667,-0.30833333333333335,-0.4625,-0.6166666666666667,-0.7708333333333334
8,0.0,-0.10050000000000003,-0.201,-0.3015,-0.402,-0.5025
9,0.0,-0.0605,-0.121,-0.1815,-0.242,-0.3025
10,0.0,-0.055833333333333346,-0.11166666666666666,-0.1675,-0.22333333333333333,-0.2791666666666667
11,0.0,-0.10650000000000004,-0.21300000000000002,-0.3195,-0.42600000000000005,-0.5325
12,0.0,-0.13183333333333336,-0.2636666666666667,-0.3955000000000001,-0.5273333333333334,-0.6591666666666667
13,0.0,-0.27066666666666683,-0.5413333333333334,-0.812,-1.0826666666666669,-1.3533333333333335
14,0.0,-0.11649999999999994,-0.23299999999999998,-0.3495,-0.46599999999999997,-0.5825
15,0.0,-0.1303333333333334,-0.2606666666666667,-0.391,-0.5213333333333334,-0.6516666666666667
16,0.0,-0.07883333333333337,-0.15766666666666668,-0.2365,-0.31533333333333335,-0.39416666666666667
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,-0.019666666666666666,-0.03933333333333333,-0.059,-0.07866666666666666,-0.09833333333333333
28,0.0,-0.007833333333333338,-0.01566666666666667,-0.0235,-0.03133333333333334,-0.03916666666666667
29,0.0,-0.018500000000000003,-0.037000000000000005,-0.05550000000000001,-0.07400000000000001,-0.0925
30,0.0,-0.0011666666666666665,-0.002333333333333333,-0.0034999999999999996,-0.004666666666666666,-0.005833333333333334
31,0.0,-0.012166666666666666,-0.024333333333333332,-0.0365,-0.048666666666666664,-0.06083333333333333
32,0.0,-0.037000000000000005,-0.07400000000000001,-0.11100000000000002,-0.14800000000000002,-0.185
33,0.0,-0.015,-0.03,-0.045,-0.06,-0.075
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,-0.020666666666666667,-0.04133333333333333,-0.062,-0.08266666666666667,-0.10333333333333333
36,0.0,-0.013666666666666646,-0.0273333333333333,-0.04099999999999995,-0.0546666666666666,-0.06833333333333326
37,0.0,-0.04249999999999998,-0.08499999999999999,-0.1275,-0.16999999999999998,-0.2125
38,0.0,-0.01999999999999999,-0.039999999999999994,-0.06,-0.07999999999999999,-0.09999999999999999
39,0.0,-0.013499999999999998,-0.027000000000000003,-0.0405,-0.054000000000000006,-0.0675
40,0.0,-0.021666666666666667,-0.043333333333333335,-0.065,-0.08666666666666667,-0.10833333333333334
41,0.0,-0.0626666666666667,-0.12533333333333335,-0.188,-0.2506666666666667,-0.31333333333333335
42,0.0,-0.27249999999999996,-0.5449999999999999,-0.8174999999999999,-1.0899999999999999,-1.3625
43,0.0,-0.22433333333333327,-0.44866666666666666,-0.673,-0.8973333333333333,-1.1216666666666668
44,0.0,-0.22950000000000004,-0.45899999999999996,-0.6885,-0.9179999999999999,-1.1475
45,0.0,-0.0011666666666666665,-0.002333333333333333,-0.0034999999999999996,-0.004666666666666666,-0.005833333333333334
46,0.0,-0.0049999999999999975,-0.009999999999999998,-0.015,-0.019999999999999997,-0.024999999999999998
47,0.0,-0.026833333333333348,-0.05366666666666667,-0.0805,-0.10733333333333334,-0.13416666666666666
48,0.0,-0.010333333333333333,-0.020666666666666667,-0.031,-0.04133333333333333,-0.051666666666666666
49,0.0,-0.015333333333333338,-0.03066666666666667,-0.046,-0.06133333333333334,-0.07666666666666666
50,0.0,-0.009833333333333333,-0.019666666666666666,-0.0295,-0.03933333333333333,-0.049166666666666664
51,0.0,-0.029166666666666674,-0.058333333333333334,-0.0875,-0.11666666666666667,-0.14583333333333331
52,0.0,-0.09016666666666667,-0.18033333333333335,-0.2705,-0.3606666666666667,-0.45083333333333336
53,0.0,-0.020833333333333343,-0.04166666666666667,-0.0625,-0.08333333333333334,-0.10416666666666667
54,0.0,-0.1638333333333334,-0.32766666666666666,-0.4915,-0.6553333333333333,-0.8191666666666666
55,0.0,-0.042666666666666686,-0.08533333333333334,-0.128,-0.1706666666666667,-0.21333333333333335
56,0.0,-0.030666666666666675,-0.06133333333333334,-0.092,-0.12266666666666667,-0.15333333333333332
57,0.0,-0.05283333333333334,-0.10566666666666666,-0.1585,-0.21133333333333332,-0.26416666666666666
58,0.0,-0.0295,-0.059,-0.0885,-0.118,-0.1475
59,0.0,-0.05416666666666664,-0.10833333333333334,-0.1625,-0.21666666666666667,-0.27083333333333337
60,0.0,-0.03899999999999998,-0.07799999999999996,-0.11699999999999994,-0.15599999999999992,-0.19499999999999992
61,0.0,-0.0075,-0.015,-0.0225,-0.03,-0.0375
62,0.0,-0.008,-0.016,-0.024,-0.032,-0.04
63,0.0,-0.05666666666666664,-0.11333333333333331,-0.16999999999999996,-0.22666666666666663,-0.28333333333333327
64,0.0,-0.017833333333333326,-0.035666666666666666,-0.0535,-0.07133333333333333,-0.08916666666666667
65,0.0,-0.002333333333333333,-0.004666666666666666,-0.006999999999999999,-0.009333333333333332,-0.011666666666666667
66,0.0,-0.009666666666666664,-0.019333333333333334,-0.029,-0.03866666666666667,-0.04833333333333334
67,0.0,-0.124,-0.248,-0.372,-0.496,-0.62
