Sbswat,Tambol_ID,Tambol,Amphoe_ID,Amphoe,Province_ID,Province,per_sbswat,per_tambol
93,500101,ศรีภูมิ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0382,0.1925
99,500101,ศรีภูมิ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.1111,0.8075
93,500102,พระสิงห์,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.102,0.9903
99,500102,พระสิงห์,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0007,0.0097
92,500103,หายยา,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0019,0.0249
93,500103,หายยา,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.1427,0.9751
19,500104,ช้างม่อย,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0937,0.3282
93,500104,ช้างม่อย,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0134,0.1139
99,500104,ช้างม่อย,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0455,0.5579
19,500105,ช้างคลาน,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.1666,0.2327
92,500105,ช้างคลาน,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0005,0.003
93,500105,ช้างคลาน,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.2254,0.7643
19,500106,วัดเกต,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.23,0.1791
54,500106,วัดเกต,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0213,0.1231
91,500106,วัดเกต,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.3257,0.6979
21,500107,ช้างเผือก,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0089,0.0003
65,500107,ช้างเผือก,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.2141,0.0033
92,500107,ช้างเผือก,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0102,0.0063
93,500107,ช้างเผือก,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0002,0.0001
94,500107,ช้างเผือก,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0087,0.0055
99,500107,ช้างเผือก,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.3583,0.1688
100,500107,ช้างเผือก,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.9522,0.3278
102,500107,ช้างเผือก,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.7591,0.2625
104,500107,ช้างเผือก,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.6411,0.2121
106,500107,ช้างเผือก,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0012,0.0006
430,500107,ช้างเผือก,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0061,0.0128
66,500108,สุเทพ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0045,0.0002
92,500108,สุเทพ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.7927,0.3374
93,500108,สุเทพ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.2824,0.0635
94,500108,สุเทพ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.5141,0.2232
99,500108,สุเทพ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.42,0.1362
100,500108,สุเทพ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0478,0.0113
102,500108,สุเทพ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0049,0.0012
107,500108,สุเทพ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0017,0.0007
430,500108,สุเทพ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.1581,0.2263
66,500109,แม่เหียะ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.4059,0.0591
89,500109,แม่เหียะ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.1367,0.2052
92,500109,แม่เหียะ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.1337,0.1889
94,500109,แม่เหียะ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.3756,0.5415
430,500109,แม่เหียะ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0011,0.0051
431,500109,แม่เหียะ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0001,0.0001
17,500110,ป่าแดด,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.054,0.0426
18,500110,ป่าแดด,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.9882,0.0475
19,500110,ป่าแดด,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.2108,0.1046
66,500110,ป่าแดด,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.5896,0.1385
86,500110,ป่าแดด,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.008,0.0512
89,500110,ป่าแดด,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0526,0.1275
92,500110,ป่าแดด,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.061,0.1391
93,500110,ป่าแดด,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.1958,0.236
94,500110,ป่าแดด,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0487,0.1131
19,500111,หนองหอย,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.1004,0.0912
86,500111,หนองหอย,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0127,0.1483
90,500111,หนองหอย,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.012,0.0219
91,500111,หนองหอย,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.2953,0.7386
54,500112,ท่าศาลา,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0159,0.0914
90,500112,ท่าศาลา,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.4027,0.6287
91,500112,ท่าศาลา,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.131,0.2799
40,500113,หนองป่าครั่ง,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0285,0.0343
54,500113,หนองป่าครั่ง,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0691,0.623
90,500113,หนองป่าครั่ง,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0871,0.2131
91,500113,หนองป่าครั่ง,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0387,0.1296
19,500114,ฟ้าฮ่าม,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.1169,0.1383
20,500114,ฟ้าฮ่าม,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.4917,0.0335
21,500114,ฟ้าฮ่าม,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.1437,0.0372
54,500114,ฟ้าฮ่าม,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0902,0.7911
19,500115,ป่าตัน,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0294,0.0385
20,500115,ป่าตัน,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.5083,0.0384
21,500115,ป่าตัน,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.6131,0.1758
65,500115,ป่าตัน,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.7859,0.1188
99,500115,ป่าตัน,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0644,0.2954
102,500115,ป่าตัน,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.099,0.3332
21,500116,สันผีเสื้อ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.216,0.0195
22,500116,สันผีเสื้อ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.4397,0.0153
23,500116,สันผีเสื้อ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.1328,0.1019
54,500116,สันผีเสื้อ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.2088,0.6397
58,500116,สันผีเสื้อ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.3109,0.2229
112,500116,สันผีเสื้อ,5001,เมืองเชียงใหม่,50,เชียงใหม่,0.0001,0.0006
120,500203,บ้านหลวง,5002,จอมทอง,50,เชียงใหม่,0.1171,0.0053
164,500203,บ้านหลวง,5002,จอมทอง,50,เชียงใหม่,0.1714,0.0053
169,500203,บ้านหลวง,5002,จอมทอง,50,เชียงใหม่,0.0666,0.0026
394,500203,บ้านหลวง,5002,จอมทอง,50,เชียงใหม่,0.0001,0.0001
414,500203,บ้านหลวง,5002,จอมทอง,50,เชียงใหม่,0.0002,0.0001
415,500203,บ้านหลวง,5002,จอมทอง,50,เชียงใหม่,0.9084,0.9791
416,500203,บ้านหลวง,5002,จอมทอง,50,เชียงใหม่,0.0022,0.0008
417,500203,บ้านหลวง,5002,จอมทอง,50,เชียงใหม่,0.0118,0.0046
418,500203,บ้านหลวง,5002,จอมทอง,50,เชียงใหม่,0.0077,0.0011
419,500203,บ้านหลวง,5002,จอมทอง,50,เชียงใหม่,0.0009,0.001
120,500204,ข่วงเปา,5002,จอมทอง,50,เชียงใหม่,0.2836,0.094
121,500204,ข่วงเปา,5002,จอมทอง,50,เชียงใหม่,0.2222,0.0028
122,500204,ข่วงเปา,5002,จอมทอง,50,เชียงใหม่,0.611,0.3959
154,500204,ข่วงเปา,5002,จอมทอง,50,เชียงใหม่,0.0289,0.002
164,500204,ข่วงเปา,5002,จอมทอง,50,เชียงใหม่,0.8286,0.1851
169,500204,ข่วงเปา,5002,จอมทอง,50,เชียงใหม่,0.3686,0.1059
415,500204,ข่วงเปา,5002,จอมทอง,50,เชียงใหม่,0.0274,0.2144
120,500205,สบเตี๊ยะ,5002,จอมทอง,50,เชียงใหม่,0.3208,0.0927
415,500205,สบเตี๊ยะ,5002,จอมทอง,50,เชียงใหม่,0.0043,0.0292
417,500205,สบเตี๊ยะ,5002,จอมทอง,50,เชียงใหม่,0.1005,0.2454
472,500205,สบเตี๊ยะ,5002,จอมทอง,50,เชียงใหม่,0.0448,0.1215
473,500205,สบเตี๊ยะ,5002,จอมทอง,50,เชียงใหม่,0.2906,0.1605
474,500205,สบเตี๊ยะ,5002,จอมทอง,50,เชียงใหม่,0.0195,0.0062
