Sbswat,MON,no_risk,moderate_wet,severely_wet
1,1,26.762,69.792,112.705
1,2,14.258,68.757,150.987
1,3,22.153,71.144,127.493
1,4,3.729,52.782,198.552
1,5,0.443,4.82,15.878
1,6,0.07,0.529,1.448
1,7,0.061,0.883,3.328
1,8,3.484,10.63,18.566
1,9,10.732,44.554,90.778
1,10,22.963,78.225,144.376
1,11,31.977,57.782,77.672
1,12,54.32,140.332,225.557
2,1,18.455,43.215,66.129
2,2,2.722,28.0,89.793
2,3,10.978,38.175,71.185
2,4,0.75,17.508,84.553
2,5,0.11,0.954,2.798
2,6,0.102,0.693,1.799
2,7,0.029,0.106,0.202
2,8,0.336,2.826,8.187
2,9,1.693,23.64,88.328
2,10,10.473,46.472,97.89
2,11,19.094,33.455,44.284
2,12,35.661,82.554,125.606
3,1,1.303,2.248,2.953
3,2,1.267,3.312,5.352
3,3,1.744,4.309,6.772
3,4,0.605,2.14,4.021
3,5,0.317,0.714,1.071
3,6,0.158,0.33,0.477
3,7,0.077,0.176,0.267
3,8,0.56,1.29,1.957
3,9,0.38,1.376,2.618
3,10,2.714,6.084,9.11
3,11,1.463,2.71,3.689
3,12,6.08,12.118,17.109
4,1,2.236,2.934,3.361
4,2,1.779,2.808,3.527
4,3,2.095,3.103,3.776
4,4,1.26,2.346,3.201
4,5,0.846,1.337,1.68
4,6,0.527,0.765,0.923
4,7,0.357,0.543,0.67
4,8,0.835,1.357,1.729
4,9,1.254,2.033,2.589
4,10,1.8,2.581,3.09
4,11,2.43,2.962,3.271
4,12,2.721,3.915,4.696
5,1,2.032,2.639,3.007
5,2,1.588,2.506,3.148
5,3,1.825,2.749,3.373
5,4,1.057,2.055,2.865
5,5,0.729,1.149,1.442
5,6,0.448,0.664,0.808
5,7,0.287,0.397,0.467
5,8,0.633,1.086,1.423
5,9,1.035,1.732,2.24
5,10,1.558,2.289,2.775
5,11,2.132,2.603,2.876
5,12,2.447,3.54,4.258
6,1,0.563,0.678,0.743
6,2,0.437,0.639,0.773
6,3,0.439,0.646,0.783
6,4,0.257,0.489,0.675
6,5,0.17,0.298,0.395
6,6,0.102,0.177,0.233
6,7,0.056,0.081,0.097
6,8,0.11,0.196,0.262
6,9,0.198,0.333,0.432
6,10,0.333,0.488,0.59
6,11,0.468,0.547,0.59
6,12,0.623,0.857,1.005
7,1,1.202,1.68,1.987
7,2,0.958,1.639,2.144
7,3,1.268,1.88,2.289
7,4,0.774,1.444,1.973
7,5,0.512,0.799,0.997
7,6,0.313,0.439,0.52
7,7,0.222,0.38,0.497
7,8,0.574,0.908,1.141
7,9,0.822,1.341,1.712
7,10,1.118,1.621,1.951
7,11,1.491,1.853,2.065
7,12,1.533,2.266,2.755
8,1,0.848,1.198,1.423
8,2,0.681,1.132,1.459
8,3,0.874,1.311,1.606
8,4,0.527,1.001,1.379
8,5,0.348,0.549,0.69
8,6,0.217,0.304,0.36
8,7,0.157,0.275,0.364
8,8,0.412,0.655,0.826
8,9,0.593,0.96,1.222
8,10,0.801,1.162,1.399
8,11,1.063,1.334,1.495
8,12,1.095,1.624,1.978
9,1,0.558,0.677,0.745
9,2,0.436,0.64,0.776
9,3,0.447,0.657,0.795
9,4,0.266,0.496,0.678
9,5,0.176,0.299,0.389
9,6,0.108,0.177,0.227
9,7,0.061,0.085,0.101
9,8,0.124,0.217,0.287
9,9,0.218,0.355,0.453
9,10,0.351,0.505,0.606
9,11,0.482,0.565,0.612
9,12,0.627,0.868,1.021
10,1,0.53,0.64,0.703
10,2,0.416,0.608,0.734
10,3,0.412,0.613,0.747
10,4,0.237,0.449,0.618
10,5,0.159,0.273,0.358
10,6,0.102,0.175,0.228
10,7,0.057,0.082,0.098
10,8,0.105,0.181,0.238
10,9,0.19,0.317,0.409
10,10,0.32,0.456,0.543
10,11,0.444,0.519,0.561
10,12,0.594,0.817,0.958
11,1,1.026,1.275,1.42
11,2,0.81,1.214,1.486
11,3,0.859,1.273,1.55
11,4,0.504,0.947,1.298
11,5,0.336,0.55,0.703
11,6,0.212,0.336,0.423
11,7,0.129,0.179,0.21
11,8,0.268,0.453,0.588
11,9,0.448,0.728,0.928
11,10,0.697,0.994,1.187
11,11,0.952,1.128,1.229
11,12,1.19,1.667,1.972
12,1,1.29,1.516,1.644
12,2,0.994,1.417,1.692
12,3,0.906,1.338,1.626
12,4,0.524,0.965,1.309
12,5,0.351,0.657,0.898
12,6,0.236,0.455,0.633
12,7,0.104,0.212,0.302
12,8,0.141,0.274,0.381
12,9,0.321,0.592,0.804
12,10,0.65,0.915,1.086
12,11,0.909,1.052,1.132
12,12,1.368,1.844,2.14
13,1,2.404,3.111,3.539
13,2,1.874,2.945,3.691
13,3,2.189,3.244,3.95
13,4,1.287,2.472,3.427
13,5,0.846,1.374,1.75
13,6,0.507,0.737,0.889
13,7,0.327,0.507,0.632
13,8,0.82,1.333,1.699
