OID,SUBBASIN,WUPND1,WUPND2,WUPND3,WUPND4,WUPND5,WUPND6,WUPND7,WUPND8,WUPND9,WUPND10,WUPND11,WUPND12,WURCH1,WURCH2,WURCH3,WURCH4,WURCH5,WURCH6,WURCH7,WURCH8,WURCH9,WURCH10,WURCH11,WURCH12,WUSHAL1,WUSHAL2,WUSHAL3,WUSHAL4,WUSHAL5,WUSHAL6,WUSHAL7,WUSHAL8,WUSHAL9,WUSHAL10,WUSHAL11,WUSHAL12,WUDEEP1,WUDEEP2,WUDEEP3,WUDEEP4,WUDEEP5,WUDEEP6,WUDEEP7,WUDEEP8,WUDEEP9,WUDEEP10,WUDEEP11,WUDEEP12
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.02399,0.02618,0.02387,0.02522,0.02503,0.02522,0.02409,0.02405,0.02477,0.02393,0.02494,0.02405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.01601,0.01733,0.0158,0.01725,0.01772,0.01726,0.01617,0.0161,0.01651,0.0159,0.01678,0.01609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.02998,0.03261,0.02973,0.03185,0.03208,0.03186,0.03018,0.03011,0.03095,0.02985,0.03127,0.03008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.03868,0.04185,0.03816,0.04172,0.04293,0.04174,0.03907,0.03892,0.03989,0.03842,0.04056,0.03889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.22042,0.24047,0.2192,0.23166,0.23021,0.23172,0.22123,0.22086,0.22746,0.21988,0.22924,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.05148,0.05614,0.05118,0.05415,0.05388,0.05417,0.05168,0.05159,0.05312,0.05135,0.05356,0.05162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.00601,0.00648,0.00591,0.00654,0.00681,0.00654,0.00608,0.00605,0.00619,0.00597,0.00633,0.00606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.05213,0.05681,0.05179,0.05495,0.05484,0.05497,0.05236,0.05226,0.05379,0.05198,0.05427,0.05229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.03216,0.03475,0.0317,0.03483,0.03602,0.03485,0.03253,0.03238,0.03317,0.03193,0.03377,0.03235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.04041,0.04343,0.03962,0.04446,0.04693,0.04449,0.04103,0.04079,0.04165,0.04,0.04265,0.04072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.07161,0.07734,0.07054,0.07766,0.08045,0.07771,0.07245,0.07212,0.07386,0.07105,0.0752,0.07203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0351,0.03795,0.03461,0.03794,0.03919,0.03797,0.03548,0.03532,0.03619,0.03486,0.03685,0.03532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.08255,0.08907,0.08124,0.08978,0.09338,0.08984,0.08357,0.08317,0.08512,0.08188,0.0868,0.08308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.01278,0.01376,0.01255,0.01394,0.01463,0.01395,0.01293,0.01286,0.01315,0.01268,0.01348,0.01288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.02313,0.02494,0.02275,0.02521,0.02632,0.02523,0.02343,0.02331,0.02385,0.02294,0.02435,0.02329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.00574,0.00618,0.00564,0.00627,0.00657,0.00628,0.00582,0.00578,0.00591,0.00568,0.00604,0.00578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.08041,0.08711,0.07943,0.08617,0.08824,0.08622,0.08104,0.08074,0.08282,0.08,0.0843,0.08089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
