month,day,flow
1,1,432000
1,2,432000
1,3,432000
1,4,432000
1,5,432000
1,6,432000
1,7,432000
1,8,432000
1,9,432000
1,10,432000
1,11,432000
1,12,432000
1,13,432000
1,14,432000
1,15,432000
1,16,432000
1,17,432000
1,18,432000
1,19,432000
1,20,432000
1,21,432000
1,22,432000
1,23,432000
1,24,432000
1,25,432000
1,26,432000
1,27,432000
1,28,432000
1,29,432000
1,30,432000
1,31,432000
2,1,432000
2,2,432000
2,3,432000
2,4,432000
2,5,432000
2,6,432000
2,7,432000
2,8,432000
2,9,432000
2,10,432000
2,11,432000
2,12,432000
2,13,432000
2,14,432000
2,15,432000
2,16,432000
2,17,432000
2,18,432000
2,19,432000
2,20,432000
2,21,432000
2,22,432000
2,23,432000
2,24,432000
2,25,432000
2,26,432000
2,27,432000
2,28,432000
2,29,432000
3,1,432000
3,2,432000
3,3,432000
3,4,432000
3,5,432000
3,6,432000
3,7,432000
3,8,432000
3,9,432000
3,10,432000
3,11,432000
3,12,432000
3,13,432000
3,14,432000
3,15,432000
3,16,432000
3,17,432000
3,18,432000
3,19,432000
3,20,432000
3,21,432000
3,22,432000
3,23,432000
3,24,432000
3,25,432000
3,26,432000
3,27,432000
3,28,432000
3,29,432000
3,30,432000
3,31,432000
4,1,432000
4,2,432000
4,3,432000
4,4,432000
4,5,432000
4,6,432000
4,7,432000
4,8,432000
4,9,432000
4,10,432000
4,11,432000
4,12,432000
4,13,432000
4,14,432000
4,15,432000
4,16,432000
4,17,432000
4,18,432000
4,19,432000
4,20,432000
4,21,432000
4,22,432000
4,23,432000
4,24,432000
4,25,432000
4,26,432000
4,27,432000
4,28,432000
4,29,432000
4,30,432000
5,1,432000
5,2,432000
5,3,432000
5,4,432000
5,5,432000
5,6,432000
5,7,432000
5,8,432000
5,9,432000
5,10,432000
5,11,432000
5,12,432000
5,13,432000
5,14,432000
5,15,432000
5,16,432000
5,17,432000
5,18,432000
5,19,432000
5,20,432000
5,21,432000
5,22,432000
5,23,432000
5,24,432000
5,25,432000
5,26,432000
5,27,432000
5,28,432000
5,29,432000
5,30,432000
5,31,432000
6,1,432000
6,2,432000
6,3,432000
6,4,432000
6,5,432000
6,6,432000
6,7,432000
6,8,432000
6,9,432000
6,10,432000
6,11,432000
6,12,432000
6,13,432000
6,14,432000
6,15,432000
6,16,432000
6,17,432000
6,18,432000
6,19,432000
6,20,432000
6,21,432000
6,22,432000
6,23,432000
6,24,432000
6,25,432000
6,26,432000
6,27,432000
6,28,432000
6,29,432000
6,30,432000
7,1,432000
7,2,432000
7,3,432000
7,4,432000
7,5,432000
7,6,432000
7,7,432000
7,8,432000
7,9,432000
7,10,432000
7,11,432000
7,12,432000
7,13,432000
7,14,432000
7,15,432000
7,16,432000
7,17,432000
7,18,432000
7,19,432000
7,20,432000
7,21,432000
7,22,432000
7,23,432000
7,24,432000
7,25,432000
7,26,432000
7,27,432000
7,28,432000
7,29,432000
7,30,432000
7,31,432000
8,1,432000
8,2,432000
8,3,432000
8,4,432000
8,5,432000
8,6,432000
8,7,432000
8,8,432000
8,9,432000
8,10,432000
8,11,432000
8,12,432000
8,13,432000
8,14,432000
8,15,432000
8,16,432000
8,17,432000
8,18,432000
8,19,432000
8,20,432000
8,21,432000
8,22,432000
8,23,432000
8,24,432000
8,25,432000
8,26,432000
8,27,432000
8,28,432000
8,29,432000
8,30,432000
8,31,432000
9,1,432000
9,2,432000
9,3,432000
9,4,432000
9,5,432000
9,6,432000
9,7,432000
9,8,432000
9,9,432000
9,10,432000
9,11,432000
9,12,432000
9,13,432000
9,14,432000
9,15,432000
9,16,432000
9,17,432000
9,18,432000
9,19,432000
9,20,432000
9,21,432000
9,22,432000
9,23,432000
9,24,432000
9,25,432000
9,26,432000
9,27,432000
9,28,432000
9,29,432000
9,30,432000
10,1,432000
10,2,432000
10,3,432000
10,4,432000
10,5,432000
10,6,432000
10,7,432000
10,8,432000
10,9,432000
10,10,432000
10,11,432000
10,12,432000
10,13,432000
10,14,432000
10,15,432000
10,16,432000
10,17,432000
10,18,432000
10,19,432000
10,20,432000
10,21,432000
10,22,432000
10,23,432000
10,24,432000
10,25,432000
10,26,432000
10,27,432000
10,28,432000
10,29,432000
10,30,432000
10,31,432000
11,1,432000
11,2,432000
11,3,432000
11,4,432000
11,5,432000
11,6,432000
11,7,432000
11,8,432000
11,9,432000
11,10,432000
11,11,432000
11,12,432000
11,13,432000
11,14,432000
11,15,432000
11,16,432000
11,17,432000
11,18,432000
11,19,432000
11,20,432000
11,21,432000
11,22,432000
11,23,432000
11,24,432000
11,25,432000
11,26,432000
11,27,432000
11,28,432000
11,29,432000
11,30,432000
12,1,432000
12,2,432000
12,3,432000
12,4,432000
12,5,432000
12,6,432000
12,7,432000
12,8,432000
12,9,432000
12,10,432000
12,11,432000
12,12,432000
12,13,432000
12,14,432000
12,15,432000
12,16,432000
12,17,432000
12,18,432000
12,19,432000
12,20,432000
12,21,432000
12,22,432000
12,23,432000
12,24,432000
12,25,432000
12,26,432000
12,27,432000
12,28,432000
12,29,432000
12,30,432000
12,31,432000
