month,day,release
1,1,0.231
1,2,0.231
1,3,0.231
1,4,0.231
1,5,0.231
1,6,0.231
1,7,8.102
1,8,8.102
1,9,8.102
1,10,8.102
1,11,7.292
1,12,7.292
1,13,7.292
1,14,7.292
1,15,7.292
1,16,7.292
1,17,7.292
1,18,11.343
1,19,12.153
1,20,3.704
1,21,3.704
1,22,3.704
1,23,3.704
1,24,2.199
1,25,2.199
1,26,2.199
1,27,2.431
1,28,2.199
1,29,4.745
1,30,6.597
1,31,6.481
2,1,10.995
2,2,6.481
2,3,6.944
2,4,6.944
2,5,7.176
2,6,6.713
2,7,6.019
2,8,6.019
2,9,6.019
2,10,5.903
2,11,5.903
2,12,5.903
2,13,5.903
2,14,5.903
2,15,0.231
2,16,0.81
2,17,0.81
2,18,0.81
2,19,0.81
2,20,0.81
2,21,0.81
2,22,0.231
2,23,0.231
2,24,0.231
2,25,1.389
2,26,1.389
2,27,2.778
2,28,2.778
2,29,5.208
3,1,4.051
3,2,2.72
3,3,2.199
3,4,3.009
3,5,3.009
3,6,4.398
3,7,4.398
3,8,6.481
3,9,6.597
3,10,6.597
3,11,6.597
3,12,6.481
3,13,7.292
3,14,7.292
3,15,7.292
3,16,7.292
3,17,7.292
3,18,7.292
3,19,7.292
3,20,6.829
3,21,1.389
3,22,0.81
3,23,4.051
3,24,3.472
3,25,3.472
3,26,2.546
3,27,1.042
3,28,0.463
3,29,0.463
3,30,0.463
3,31,0.463
4,1,0.231
4,2,0.231
4,3,0.231
4,4,0.231
4,5,0.231
4,6,0.231
4,7,0.579
4,8,1.389
4,9,1.389
4,10,1.389
4,11,1.157
4,12,1.157
4,13,0.579
4,14,0.231
4,15,0.231
4,16,0.231
4,17,0.231
4,18,0.231
4,19,0.231
4,20,0.231
4,21,0.231
4,22,0.231
4,23,0.231
4,24,0.231
4,25,0.231
4,26,0.579
4,27,0.579
4,28,0.579
4,29,0.579
4,30,0.579
5,1,0.579
5,2,0.231
5,3,0.579
5,4,0.231
5,5,0.463
5,6,0.463
5,7,0.463
5,8,0.231
5,9,0.231
5,10,0.231
5,11,0.231
5,12,0.231
5,13,0.463
5,14,0.463
5,15,0.463
5,16,0.463
5,17,0.231
5,18,0.463
5,19,0.463
5,20,0.463
5,21,0.231
5,22,0.231
5,23,0.231
5,24,0.231
5,25,0.231
5,26,0.231
5,27,0.231
5,28,0.231
5,29,0.231
5,30,0.231
5,31,0.231
6,1,0.231
6,2,0.231
6,3,0.347
6,4,0.347
6,5,0.347
6,6,0.347
6,7,0.347
6,8,0.231
6,9,0.231
6,10,0.347
6,11,0.347
6,12,0.347
6,13,0.347
6,14,0.579
6,15,0.579
6,16,0.347
6,17,0.347
6,18,0.347
6,19,0.347
6,20,0.347
6,21,0.231
6,22,0.231
6,23,0.231
6,24,0.231
6,25,0.231
6,26,0.347
6,27,0.289
6,28,0.347
6,29,0.347
6,30,0.347
7,1,0.347
7,2,3.356
7,3,3.356
7,4,3.356
7,5,3.356
7,6,3.356
7,7,3.356
7,8,3.356
7,9,3.356
7,10,3.356
7,11,1.794
7,12,3.356
7,13,3.356
7,14,3.356
7,15,3.356
7,16,3.356
7,17,3.356
7,18,3.356
7,19,3.356
7,20,2.546
7,21,3.356
7,22,2.373
7,23,3.356
7,24,3.356
7,25,3.356
7,26,1.389
7,27,1.389
7,28,1.62
7,29,1.62
7,30,2.315
7,31,2.315
8,1,2.373
8,2,2.315
8,3,2.431
8,4,2.431
8,5,2.315
8,6,2.315
8,7,2.315
8,8,1.736
8,9,1.736
8,10,1.736
8,11,1.736
8,12,1.62
8,13,1.736
8,14,1.968
8,15,1.968
8,16,1.968
8,17,1.968
8,18,1.968
8,19,1.968
8,20,1.968
8,21,2.083
8,22,2.083
8,23,2.315
8,24,2.315
8,25,2.315
8,26,2.315
8,27,2.315
8,28,2.315
8,29,2.315
8,30,2.315
8,31,2.315
9,1,2.315
9,2,2.315
9,3,2.315
9,4,1.736
9,5,1.736
9,6,2.083
9,7,2.083
9,8,2.083
9,9,2.083
9,10,2.083
9,11,2.083
9,12,2.315
9,13,2.199
9,14,2.315
9,15,2.315
9,16,2.315
9,17,2.315
9,18,2.199
9,19,2.315
9,20,2.315
9,21,2.315
9,22,2.315
9,23,2.315
9,24,2.315
9,25,2.431
9,26,3.356
9,27,3.356
9,28,3.356
9,29,3.356
9,30,3.704
10,1,3.356
10,2,3.356
10,3,3.356
10,4,3.356
10,5,3.356
10,6,6.134
10,7,7.755
10,8,7.755
10,9,7.755
10,10,4.861
10,11,3.704
10,12,3.704
10,13,3.704
10,14,3.704
10,15,3.704
10,16,3.704
10,17,3.704
10,18,3.819
10,19,4.398
10,20,6.713
10,21,7.407
10,22,6.944
10,23,6.25
10,24,6.019
10,25,9.375
10,26,10.301
10,27,10.301
10,28,9.722
10,29,7.639
10,30,6.481
10,31,5.44
11,1,4.977
11,2,4.514
11,3,3.819
11,4,3.356
11,5,2.778
11,6,2.257
11,7,2.257
11,8,1.678
11,9,1.157
11,10,0.405
11,11,1.042
11,12,0.984
11,13,0.984
11,14,0.984
11,15,0.463
11,16,0.289
11,17,0.289
11,18,0.405
11,19,0.405
11,20,0.231
11,21,0.289
11,22,0.289
11,23,0.289
11,24,0.289
11,25,0.289
11,26,0.289
11,27,0.289
11,28,0.231
11,29,0.231
11,30,0.231
12,1,0.231
12,2,0.694
12,3,0.231
12,4,0.231
12,5,0.231
12,6,0.231
12,7,0.116
12,8,0.231
12,9,0.231
12,10,0.231
12,11,4.977
12,12,0.231
12,13,1.736
12,14,1.736
12,15,5.729
12,16,4.051
12,17,4.745
12,18,4.745
12,19,8.102
12,20,8.102
12,21,8.102
12,22,5.093
12,23,8.102
12,24,8.102
12,25,7.292
12,26,4.688
12,27,4.688
12,28,4.688
12,29,4.688
12,30,4.688
12,31,4.688
