month,day,mean_flow
1,1,811468.8
1,2,772070.4
1,3,752976
1,4,757123.2
1,5,774057.6
1,6,851212.8
1,7,826848
1,8,852508.8
1,9,883958.4
1,10,899078.4
1,11,604713.6
1,12,608601.6
1,13,828316.8
1,14,867369.6
1,15,1318204.8
1,16,1228262.4
1,17,850608
1,18,957484.8
1,19,929059.2
1,20,868320
1,21,1346457.6
1,22,1387756.8
1,23,1383264
1,24,1227571.2
1,25,1232323.2
1,26,980035.2
1,27,976492.8
1,28,854582.4
1,29,922752
1,30,921024
1,31,891648
2,1,1066262.4
2,2,1030579.2
2,3,1100995.2
2,4,1041379.2
2,5,1064534.4
2,6,1053734.4
2,7,1044835.2
2,8,973814.4
2,9,746409.6
2,10,785721.6
2,11,807408
2,12,922147.2
2,13,1067299.2
2,14,1081036.8
2,15,1137974.4
2,16,1183680
2,17,1206489.6
2,18,882576
2,19,912643.2
2,20,837302.4
2,21,1351641.6
2,22,1247616
2,23,1253923.2
2,24,1322524.8
2,25,1301097.6
2,26,1006819.2
2,27,825379.2
2,28,1219708.8
2,29,0
3,1,1248998.4
3,2,1275868.8
3,3,1317427.2
3,4,1290643.2
3,5,1272672
3,6,1244764.8
3,7,1227225.6
3,8,1219795.2
3,9,1269129.6
3,10,1324857.6
3,11,1283040
3,12,1326931.2
3,13,1281744
3,14,1024531.2
3,15,1029974.4
3,16,1023494.4
3,17,993427.2
3,18,1000512
3,19,988675.2
3,20,970012.8
3,21,950400
3,22,966211.2
3,23,837734.4
3,24,841363.2
3,25,840758.4
3,26,817171.2
3,27,870220.8
3,28,892684.8
3,29,865555.2
3,30,867283.2
3,31,794620.8
4,1,793411.2
4,2,598233.6
4,3,335491.2
4,4,304387.2
4,5,212371.2
4,6,337910.4
4,7,408326.4
4,8,619833.6
4,9,609120
4,10,614822.4
4,11,531792
4,12,590112
4,13,248572.8
4,14,264384
4,15,269568
4,16,263001.6
4,17,398822.4
4,18,475891.2
4,19,443404.8
4,20,399513.6
4,21,582508.8
4,22,584323.2
4,23,450057.6
4,24,430963.2
4,25,523324.8
4,26,642384
4,27,671932.8
4,28,796348.8
4,29,760924.8
4,30,783734.4
5,1,488851.2
5,2,146188.8
5,3,110592
5,4,116553.6
5,5,81475.2
5,6,55209.6
5,7,133142.4
5,8,125193.6
5,9,128044.8
5,10,135216
5,11,123206.4
5,12,121132.8
5,13,108000
5,14,116467.2
5,15,120441.6
5,16,123465.6
5,17,53136
5,18,53654.4
5,19,46051.2
5,20,46742.4
5,21,0
5,22,0
5,23,0
5,24,0
5,25,0
5,26,0
5,27,0
5,28,0
5,29,0
5,30,164419.2
5,31,21081.6
6,1,21081.6
6,2,21168
6,3,294105.6
6,4,200361.6
6,5,184464
6,6,184896
6,7,237168
6,8,284169.6
6,9,282009.6
6,10,276134.4
6,11,279158.4
6,12,279331.2
6,13,163296
6,14,170985.6
6,15,88387.2
6,16,84672
6,17,88214.4
6,18,139363.2
6,19,61430.4
6,20,71884.8
6,21,60652.8
6,22,75081.6
6,23,69465.6
6,24,65404.8
6,25,74995.2
6,26,76550.4
6,27,62035.2
6,28,67737.6
6,29,88473.6
6,30,200102.4
7,1,197424
7,2,188352
7,3,349833.6
7,4,328406.4
7,5,279244.8
7,6,261792
7,7,60566.4
7,8,64022.4
7,9,63936
7,10,64108.8
7,11,60134.4
7,12,59443.2
7,13,62294.4
7,14,99360
7,15,55728
7,16,240105.6
7,17,218764.8
7,18,352598.4
7,19,295660.8
7,20,460944
7,21,460944
7,22,302054.4
7,23,230083.2
7,24,272505.6
7,25,272678.4
7,26,293241.6
7,27,321148.8
7,28,271555.2
7,29,329097.6
7,30,299462.4
7,31,295747.2
8,1,20476.8
8,2,0
8,3,3888
8,4,3715.2
8,5,3801.6
8,6,3715.2
8,7,0
8,8,0
8,9,0
8,10,57110.4
8,11,58147.2
8,12,57110.4
8,13,26870.4
8,14,28080
8,15,27216
8,16,54950.4
8,17,66096
8,18,250473.6
8,19,295401.6
8,20,292291.2
8,21,367286.4
8,22,358128
8,23,45964.8
8,24,84758.4
8,25,90374.4
8,26,101088
8,27,101520
8,28,82771.2
8,29,83116.8
8,30,81907.2
8,31,29635.2
9,1,30240
9,2,30931.2
9,3,37238.4
9,4,37497.6
9,5,4752
9,6,4752
9,7,4838.4
9,8,4838.4
9,9,4752
9,10,4752
9,11,11145.6
9,12,11318.4
9,13,2505.6
9,14,2678.4
9,15,9244.8
9,16,9158.4
9,17,8985.6
9,18,8899.2
9,19,2419.2
9,20,2332.8
9,21,2332.8
9,22,8467.2
9,23,4320
9,24,4406.4
9,25,84240
9,26,95990.4
9,27,2592
9,28,2678.4
9,29,2678.4
9,30,84672
10,1,83894.4
10,2,4492.8
10,3,4406.4
10,4,2592
10,5,179625.6
10,6,262656
10,7,269222.4
10,8,295315.2
10,9,303177.6
10,10,301190.4
10,11,291427.2
10,12,359078.4
10,13,419558.4
10,14,521424
10,15,400118.4
10,16,409449.6
10,17,402019.2
10,18,368496
10,19,384307.2
10,20,469238.4
10,21,445910.4
10,22,449020.8
10,23,432086.4
10,24,418003.2
10,25,422236.8
10,26,370137.6
10,27,427507.2
10,28,414633.6
10,29,399945.6
10,30,411523.2
10,31,408585.6
11,1,474854.4
11,2,529372.8
11,3,524361.6
11,4,512265.6
11,5,529718.4
11,6,492220.8
11,7,526176
11,8,530755.2
11,9,505353.6
11,10,491702.4
11,11,601948.8
11,12,423187.2
11,13,524016
11,14,541987.2
11,15,331603.2
11,16,332640
11,17,227664
11,18,238550.4
11,19,233798.4
11,20,235353.6
11,21,269222.4
11,22,195436.8
11,23,231206.4
11,24,292809.6
11,25,510969.6
11,26,554428.8
11,27,554515.2
11,28,302140.8
11,29,303091.2
11,30,445651.2
12,1,433123.2
12,2,508550.4
12,3,583545.6
12,4,501724.8
12,5,517881.6
12,6,536803.2
12,7,345081.6
12,8,462758.4
12,9,676425.6
12,10,710380.8
12,11,755049.6
12,12,815270.4
12,13,783648
12,14,969580.8
12,15,896918.4
12,16,1004572.8
12,17,710208
12,18,888537.6
12,19,947808
12,20,725155.2
12,21,761011.2
12,22,715219.2
12,23,606268.8
12,24,746323.2
12,25,743731.2
12,26,761875.2
12,27,731030.4
12,28,850089.6
12,29,833500.8
12,30,586483.2
12,31,700876.8
