Sbswat,SB_CODE,SB_NAME_T,MB_CODE,MBASIN_T,fraction
1,802,แม่น้ำควน,8,ยม,0.039768982
2,802,แม่น้ำควน,8,ยม,0.043711201
3,802,แม่น้ำควน,8,ยม,0.018515688
4,802,แม่น้ำควน,8,ยม,0.013104608
5,802,แม่น้ำควน,8,ยม,0.076712342
6,801,แม่น้ำยมตอนบนส่วนที่ 1,8,ยม,0.021757693
7,801,แม่น้ำยมตอนบนส่วนที่ 1,8,ยม,0.169393603
8,801,แม่น้ำยมตอนบนส่วนที่ 1,8,ยม,0.099233307
9,806,แม่น้ำงาว,8,ยม,0.011281925
10,806,แม่น้ำงาว,8,ยม,0.009288455
11,804,น้ำปี้,8,ยม,0.021044139
12,806,แม่น้ำงาว,8,ยม,0.005892776
13,806,แม่น้ำงาว,8,ยม,0.003870417
14,805,แม่น้ำยมตอนบนส่วนที่ 3,8,ยม,0.055328682
15,806,แม่น้ำงาว,8,ยม,0.006136488
16,805,แม่น้ำยมตอนบนส่วนที่ 3,8,ยม,0.046247666
17,806,แม่น้ำงาว,8,ยม,0.012554063
18,806,แม่น้ำงาว,8,ยม,0.025644028
19,806,แม่น้ำงาว,8,ยม,0.028779645
20,806,แม่น้ำงาว,8,ยม,0.012297173
21,805,แม่น้ำยมตอนบนส่วนที่ 3,8,ยม,0.02812545
22,804,น้ำปี้,8,ยม,0.028521191
23,805,แม่น้ำยมตอนบนส่วนที่ 3,8,ยม,0.022195547
24,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.013779221
25,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.002596116
26,806,แม่น้ำงาว,8,ยม,0.034494837
27,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.001413607
28,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.01804591
29,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.007947979
30,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.039117419
31,808,น้ำแม่คำมี,8,ยม,0.054343242
32,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.015340423
33,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.045286231
34,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.017827075
35,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.022766249
36,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.025449212
37,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.011172358
38,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.011025573
39,806,แม่น้ำงาว,8,ยม,0.015764069
40,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.029475531
41,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.02586627
42,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.043599165
43,805,แม่น้ำยมตอนบนส่วนที่ 3,8,ยม,0.01839092
44,811,แม่น้ำยมตอนล่างส่วนที่ 1,8,ยม,0.009279621
45,811,แม่น้ำยมตอนล่างส่วนที่ 1,8,ยม,0.009274316
46,811,แม่น้ำยมตอนล่างส่วนที่ 1,8,ยม,0.015984272
47,809,แม่น้ำยมตอนกลางส่วนที่ 2,8,ยม,0.030570458
48,809,แม่น้ำยมตอนกลางส่วนที่ 2,8,ยม,0.000536604
49,809,แม่น้ำยมตอนกลางส่วนที่ 2,8,ยม,0.004963146
50,809,แม่น้ำยมตอนกลางส่วนที่ 2,8,ยม,0.001348555
51,809,แม่น้ำยมตอนกลางส่วนที่ 2,8,ยม,0.006737659
52,809,แม่น้ำยมตอนกลางส่วนที่ 2,8,ยม,0.00613913
53,808,น้ำแม่คำมี,8,ยม,0.007051476
54,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.006455181
55,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.00221706
56,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.012663811
57,809,แม่น้ำยมตอนกลางส่วนที่ 2,8,ยม,0.012782884
58,809,แม่น้ำยมตอนกลางส่วนที่ 2,8,ยม,0.004068778
59,808,น้ำแม่คำมี,8,ยม,0.020786252
60,808,น้ำแม่คำมี,8,ยม,0.042170797
61,808,น้ำแม่คำมี,8,ยม,0.007768018
62,809,แม่น้ำยมตอนกลางส่วนที่ 2,8,ยม,0.000851433
63,809,แม่น้ำยมตอนกลางส่วนที่ 2,8,ยม,0.008729688
64,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.044342694
65,807,แม่น้ำยมตอนกลางส่วนที่ 1,8,ยม,0.039742835
