Sbswat,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
1,0.0,-0.27575809284808733,-0.5680734508547826,-0.9003751172600929,-1.3190257054993348,-1.9652112575954357
2,0.0,-0.025426094464551265,-0.05237884072615171,-0.08301849838219655,-0.12161990185968204,-0.18120101775561623
3,0.0,-0.012155872509556792,-0.025041616633383272,-0.03969002332134765,-0.058144833202451306,-0.08662976036331978
4,0.0,-0.005674175721314377,-0.011689044370274192,-0.018526696996150335,-0.027141120525724604,-0.04043744968618084
5,0.0,-0.05077927370793495,-0.10460747298197096,-0.16579892197162546,-0.24289103045200905,-0.36188239957957713
6,0.0,-0.01574238386761621,-0.03242998323637205,-0.051400307328665414,-0.07530008919325845,-0.11218930939978299
7,0.0,-0.10398379001468129,-0.2142110493168389,-0.3395164804073199,-0.4973826536440706,-0.741048477068146
8,0.0,-0.057108564153863624,-0.11764608166955583,-0.18646462780302456,-0.2731657422819548,-0.40698857473644723
9,0.0,-0.06329566092777138,-0.13039176531867544,-0.2066660584329339,-0.30276030323539205,-0.45108139575336
10,0.0,-0.059451556669547295,-0.12247274633772419,-0.19411471030562713,-0.2843729105795751,-0.42368609110206834
11,0.0,-0.11341770741277594,-0.23364532214656478,-0.3703190740712194,-0.5425076377311172,-0.8082800149805234
12,0.0,-0.023115006469832305,-0.04761790073403947,-0.07547258702651498,-0.1105653415339238,-0.16473087141246834
13,0.0,-0.041926323577135986,-0.08637001754011467,-0.13689323898771025,-0.2005449702823065,-0.29879116958053065
14,0.0,-0.03555764900426375,-0.07325027586865013,-0.11609894041929025,-0.1700818734976685,-0.25340432041391286
15,0.0,-0.0025611535606502238,-0.005276085740007966,-0.008362398048502256,-0.012250691710759076,-0.018252257831624923
16,0.0,-0.011744735179997393,-0.024194656171893963,-0.03834762275029361,-0.05617825191166051,-0.08369975856310802
17,0.0,-0.004757827214543102,-0.009801327302568935,-0.015534736231866202,-0.022757977231021378,-0.03390702157511999
18,0.0,-0.012923962917664381,-0.026623915684684397,-0.042197907982586595,-0.061818817824181006,-0.09210361573153068
19,0.0,-0.014223091263726213,-0.029300175572575228,-0.04643967954707776,-0.06803290084709483,-0.10136195380739092
20,0.0,-0.005558600972418628,-0.011450955450530131,-0.01814933498651879,-0.026588295173889488,-0.03961379734917104
21,0.0,-0.009297614717735969,-0.019153483485730892,-0.030357553083065397,-0.044473011420479686,-0.06626016637758476
22,0.0,-0.007749858904853783,-0.015965040395544243,-0.02530399034943608,-0.03706967583042583,-0.05522996553716747
