Sbswat,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
1,0.0,-0.08899999999999997,-0.178,-0.267,-0.356,-0.445
2,0.0,-0.4048333333333334,-0.8096666666666665,-1.2145,-1.619333333333333,-2.0241666666666664
3,0.0,-0.16933333333333334,-0.33866666666666667,-0.508,-0.6773333333333333,-0.8466666666666667
4,0.0,-0.22566666666666668,-0.45133333333333336,-0.677,-0.9026666666666667,-1.1283333333333334
5,0.0,-0.6886666666666663,-1.377333333333333,-2.066,-2.754666666666666,-3.443333333333333
6,0.0,-0.16416666666666668,-0.32833333333333337,-0.49250000000000005,-0.6566666666666667,-0.8208333333333333
7,0.0,-1.088166666666666,-2.176333333333333,-3.2645,-4.352666666666666,-5.440833333333333
8,0.0,-0.6413333333333333,-1.2826666666666666,-1.924,-2.5653333333333332,-3.2066666666666666
9,0.0,-0.19500000000000006,-0.39,-0.585,-0.78,-0.975
10,0.0,-0.13716666666666666,-0.2743333333333333,-0.4115,-0.5486666666666666,-0.6858333333333334
11,0.0,-0.12016666666666664,-0.24033333333333334,-0.3605,-0.4806666666666667,-0.6008333333333333
12,0.0,-0.07216666666666666,-0.1443333333333333,-0.21649999999999997,-0.2886666666666666,-0.36083333333333334
13,0.0,-0.06866666666666665,-0.1373333333333333,-0.20599999999999996,-0.2746666666666666,-0.3433333333333333
14,0.0,-0.5936666666666666,-1.1873333333333331,-1.7809999999999997,-2.3746666666666663,-2.9683333333333333
15,0.0,-0.17049999999999998,-0.34099999999999997,-0.5115,-0.6819999999999999,-0.8524999999999999
16,0.0,-0.5808333333333331,-1.1616666666666666,-1.7425,-2.3233333333333333,-2.904166666666667
17,0.0,-0.46133333333333315,-0.9226666666666665,-1.384,-1.845333333333333,-2.3066666666666666
18,0.0,-0.8181666666666665,-1.6363333333333334,-2.4545,-3.272666666666667,-4.090833333333333
19,0.0,-0.7416666666666667,-1.4833333333333334,-2.225,-2.966666666666667,-3.7083333333333335
20,0.0,-0.32699999999999996,-0.6539999999999999,-0.9809999999999999,-1.3079999999999998,-1.635
21,0.0,-0.3308333333333333,-0.6616666666666666,-0.9924999999999999,-1.3233333333333333,-1.6541666666666668
22,0.0,-0.3406666666666667,-0.6813333333333333,-1.022,-1.3626666666666667,-1.7033333333333334
23,0.0,-0.34716666666666685,-0.6943333333333335,-1.0415,-1.388666666666667,-1.7358333333333336
24,0.0,-0.09700000000000003,-0.194,-0.291,-0.388,-0.485
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,-0.8905000000000003,-1.7810000000000001,-2.6715,-3.5620000000000003,-4.4525
27,0.0,-0.0175,-0.035,-0.052500000000000005,-0.07,-0.0875
28,0.0,-0.3676666666666668,-0.7353333333333334,-1.103,-1.4706666666666668,-1.8383333333333334
29,0.0,-0.11750000000000005,-0.235,-0.3525,-0.47,-0.5874999999999999
30,0.0,-0.7023333333333337,-1.404666666666667,-2.107,-2.809333333333334,-3.511666666666667
31,0.0,-0.2876666666666665,-0.5753333333333333,-0.863,-1.1506666666666665,-1.4383333333333332
32,0.0,-0.3148333333333333,-0.6296666666666666,-0.9444999999999999,-1.2593333333333332,-1.5741666666666667
33,0.0,-0.6515,-1.303,-1.9545,-2.606,-3.2575
34,0.0,-0.2646666666666668,-0.5293333333333334,-0.794,-1.0586666666666669,-1.3233333333333335
35,0.0,-0.4291666666666667,-0.8583333333333334,-1.2875,-1.7166666666666668,-2.1458333333333335
36,0.0,-0.45166666666666666,-0.9033333333333333,-1.355,-1.8066666666666666,-2.2583333333333333
37,0.0,-0.16866666666666674,-0.3373333333333334,-0.506,-0.6746666666666667,-0.8433333333333334
38,0.0,-0.1848333333333334,-0.3696666666666667,-0.5545,-0.7393333333333334,-0.9241666666666667
39,0.0,-0.43566666666666665,-0.8713333333333333,-1.307,-1.7426666666666666,-2.1783333333333332
40,0.0,-0.6665000000000001,-1.3330000000000002,-1.9995000000000003,-2.6660000000000004,-3.3325
41,0.0,-0.4129999999999998,-0.8260000000000001,-1.239,-1.6520000000000001,-2.0650000000000004
42,0.0,-0.7298333333333336,-1.4596666666666667,-2.1895,-2.9193333333333333,-3.6491666666666664
43,0.0,-0.22683333333333322,-0.45366666666666666,-0.6805,-0.9073333333333333,-1.1341666666666668
44,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,-0.06549999999999995,-0.13099999999999995,-0.19649999999999995,-0.2619999999999999,-0.3274999999999999
48,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,-0.013333333333333336,-0.026666666666666665,-0.04,-0.05333333333333333,-0.06666666666666667
50,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,-0.027166666666666672,-0.05433333333333333,-0.0815,-0.10866666666666666,-0.13583333333333333
52,0.0,-0.04199999999999998,-0.08399999999999999,-0.126,-0.16799999999999998,-0.21
53,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,-0.2273333333333334,-0.45466666666666666,-0.682,-0.9093333333333333,-1.1366666666666667
58,0.0,-0.0635,-0.127,-0.1905,-0.254,-0.3175
59,0.0,-0.060166666666666646,-0.12033333333333332,-0.1805,-0.24066666666666664,-0.30083333333333334
60,0.0,-0.13533333333333342,-0.2706666666666667,-0.406,-0.5413333333333334,-0.6766666666666667
61,0.0,-0.1216666666666667,-0.24333333333333335,-0.365,-0.4866666666666667,-0.6083333333333333
62,0.0,-0.016666666666666677,-0.03333333333333334,-0.05,-0.06666666666666668,-0.08333333333333334
63,0.0,-0.31333333333333346,-0.6266666666666667,-0.94,-1.2533333333333334,-1.5666666666666667
64,0.0,-0.9165000000000001,-1.8329999999999997,-2.7495,-3.6659999999999995,-4.5825
65,0.0,-0.8546666666666667,-1.7093333333333334,-2.564,-3.4186666666666667,-4.273333333333333
66,0.0,-0.07849999999999996,-0.15699999999999997,-0.2355,-0.31399999999999995,-0.39249999999999996
67,0.0,-0.16533333333333333,-0.33066666666666666,-0.496,-0.6613333333333333,-0.8266666666666667
68,0.0,-0.10950000000000004,-0.21900000000000003,-0.3285,-0.43800000000000006,-0.5475
69,0.0,-0.028499999999999998,-0.05700000000000001,-0.0855,-0.11400000000000002,-0.14250000000000002
70,0.0,-0.014833333333333337,-0.029666666666666668,-0.0445,-0.059333333333333335,-0.07416666666666666
71,0.0,-0.08333333333333337,-0.16666666666666669,-0.25,-0.33333333333333337,-0.4166666666666667
72,0.0,-0.4384999999999999,-0.877,-1.3155,-1.754,-2.1925
73,0.0,-0.04366666666666669,-0.08733333333333335,-0.131,-0.1746666666666667,-0.21833333333333335
74,0.0,-0.09016666666666667,-0.18033333333333335,-0.2705,-0.3606666666666667,-0.45083333333333336
