Sbswat,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
1,0.0,-0.059,-0.118,-0.177,-0.236,-0.295
2,0.0,-0.14150000000000007,-0.28300000000000003,-0.4245,-0.5660000000000001,-0.7075
3,0.0,-0.0595,-0.119,-0.1785,-0.238,-0.2975
4,0.0,-0.054333333333333345,-0.10866666666666666,-0.163,-0.21733333333333332,-0.27166666666666667
5,0.0,-0.2376666666666667,-0.4753333333333333,-0.713,-0.9506666666666665,-1.1883333333333332
6,0.0,-0.05133333333333334,-0.10266666666666666,-0.154,-0.2053333333333333,-0.25666666666666665
7,0.0,-0.36350000000000016,-0.7270000000000001,-1.0905,-1.4540000000000002,-1.8175000000000001
8,0.0,-0.21633333333333327,-0.43266666666666664,-0.649,-0.8653333333333333,-1.0816666666666668
9,0.0,-0.054333333333333345,-0.10866666666666666,-0.163,-0.21733333333333332,-0.27166666666666667
10,0.0,-0.043333333333333335,-0.08666666666666667,-0.13,-0.17333333333333334,-0.21666666666666667
11,0.0,-0.03433333333333333,-0.06866666666666665,-0.10299999999999998,-0.1373333333333333,-0.17166666666666666
12,0.0,-0.024166666666666656,-0.048333333333333325,-0.0725,-0.09666666666666665,-0.12083333333333332
13,0.0,-0.02733333333333335,-0.05466666666666667,-0.082,-0.10933333333333334,-0.13666666666666666
14,0.0,-0.16916666666666658,-0.33833333333333326,-0.5075,-0.6766666666666665,-0.8458333333333332
15,0.0,-0.042333333333333334,-0.08466666666666667,-0.127,-0.16933333333333334,-0.21166666666666667
16,0.0,-0.15433333333333332,-0.30866666666666664,-0.46299999999999997,-0.6173333333333333,-0.7716666666666667
17,0.0,-0.11683333333333334,-0.23366666666666663,-0.3505,-0.46733333333333327,-0.5841666666666666
18,0.0,-0.21133333333333337,-0.42266666666666663,-0.634,-0.8453333333333333,-1.0566666666666666
19,0.0,-0.22483333333333344,-0.44966666666666666,-0.6745,-0.8993333333333333,-1.1241666666666665
20,0.0,-0.10233333333333328,-0.20466666666666666,-0.307,-0.4093333333333333,-0.5116666666666667
21,0.0,-0.09616666666666662,-0.1923333333333333,-0.2885,-0.3846666666666666,-0.4808333333333333
22,0.0,-0.08483333333333337,-0.1696666666666667,-0.2545,-0.3393333333333334,-0.4241666666666667
23,0.0,-0.08799999999999997,-0.176,-0.264,-0.352,-0.44
24,0.0,-0.042166666666666686,-0.08433333333333334,-0.1265,-0.1686666666666667,-0.21083333333333334
