Sbswat,Tambol_ID,Tambol,Amphoe_ID,Amphoe,Province_ID,Province,per_sbswat,per_tambol
540,520201,บ้านดง,5202,แม่เมาะ,52,ลำปาง,0.0004,1
557,520202,นาสัก,5202,แม่เมาะ,52,ลำปาง,0.0002,1
539,520203,จางเหนือ,5202,แม่เมาะ,52,ลำปาง,0.9985,0.7651
39,520203,จางเหนือ,5202,แม่เมาะ,52,ลำปาง,0.9883,0.1086
540,520203,จางเหนือ,5202,แม่เมาะ,52,ลำปาง,0.0863,0.0903
598,520203,จางเหนือ,5202,แม่เมาะ,52,ลำปาง,0.2203,0.0289
599,520203,จางเหนือ,5202,แม่เมาะ,52,ลำปาง,0.0059,0.0049
552,520203,จางเหนือ,5202,แม่เมาะ,52,ลำปาง,0.001,0.0011
41,520203,จางเหนือ,5202,แม่เมาะ,52,ลำปาง,0.0045,0.0005
33,520203,จางเหนือ,5202,แม่เมาะ,52,ลำปาง,0.0017,0.0004
37,520203,จางเหนือ,5202,แม่เมาะ,52,ลำปาง,0.0019,0.0001
550,520203,จางเหนือ,5202,แม่เมาะ,52,ลำปาง,0.0005,0.0001
36,520203,จางเหนือ,5202,แม่เมาะ,52,ลำปาง,0.0003,0
557,520205,สบป้าด,5202,แม่เมาะ,52,ลำปาง,0.0007,0.8265
558,520205,สบป้าด,5202,แม่เมาะ,52,ลำปาง,0.0002,0.1735
9,520501,หลวงเหนือ,5205,งาว,52,ลำปาง,0.2275,0.3989
12,520501,หลวงเหนือ,5205,งาว,52,ลำปาง,0.3136,0.2872
544,520501,หลวงเหนือ,5205,งาว,52,ลำปาง,0.0323,0.1875
26,520501,หลวงเหนือ,5205,งาว,52,ลำปาง,0.0139,0.0746
18,520501,หลวงเหนือ,5205,งาว,52,ลำปาง,0.0069,0.0275
545,520501,หลวงเหนือ,5205,งาว,52,ลำปาง,0.0214,0.0242
17,520501,หลวงเหนือ,5205,งาว,52,ลำปาง,0,0.0001
545,520502,หลวงใต้,5205,งาว,52,ลำปาง,0.9169,0.4933
9,520502,หลวงใต้,5205,งาว,52,ลำปาง,0.2154,0.1795
26,520502,หลวงใต้,5205,งาว,52,ลำปาง,0.0384,0.098
544,520502,หลวงใต้,5205,งาว,52,ลำปาง,0.0287,0.0791
599,520502,หลวงใต้,5205,งาว,52,ลำปาง,0.0085,0.0744
541,520502,หลวงใต้,5205,งาว,52,ลำปาง,0.0148,0.0722
13,520502,หลวงใต้,5205,งาว,52,ลำปาง,0.0122,0.0035
541,520503,บ้านโป่ง,5205,งาว,52,ลำปาง,0.5349,0.68
543,520503,บ้านโป่ง,5205,งาว,52,ลำปาง,0.1451,0.1168
15,520503,บ้านโป่ง,5205,งาว,52,ลำปาง,0.772,0.0914
542,520503,บ้านโป่ง,5205,งาว,52,ลำปาง,0.1973,0.0628
599,520503,บ้านโป่ง,5205,งาว,52,ลำปาง,0.0176,0.0403
545,520503,บ้านโป่ง,5205,งาว,52,ลำปาง,0.0617,0.0087
601,520504,บ้านร้อง,5205,งาว,52,ลำปาง,0.9445,0.7936
538,520504,บ้านร้อง,5205,งาว,52,ลำปาง,0.8421,0.1078
18,520504,บ้านร้อง,5205,งาว,52,ลำปาง,0.2282,0.0321
20,520504,บ้านร้อง,5205,งาว,52,ลำปาง,0.449,0.0303
