OID,SUBBASIN,WUPND1,WUPND2,WUPND3,WUPND4,WUPND5,WUPND6,WUPND7,WUPND8,WUPND9,WUPND10,WUPND11,WUPND12,WURCH1,WURCH2,WURCH3,WURCH4,WURCH5,WURCH6,WURCH7,WURCH8,WURCH9,WURCH10,WURCH11,WURCH12,WUSHAL1,WUSHAL2,WUSHAL3,WUSHAL4,WUSHAL5,WUSHAL6,WUSHAL7,WUSHAL8,WUSHAL9,WUSHAL10,WUSHAL11,WUSHAL12,WUDEEP1,WUDEEP2,WUDEEP3,WUDEEP4,WUDEEP5,WUDEEP6,WUDEEP7,WUDEEP8,WUDEEP9,WUDEEP10,WUDEEP11,WUDEEP12
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04911,0.05289,0.04803,0.05178,0.05161,0.05168,0.04875,0.04849,0.05473,0.04783,0.05069,0.04793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.01043,0.01105,0.01001,0.01111,0.0114,0.01114,0.01038,0.01022,0.01195,0.01002,0.0108,0.01007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.00315,0.00333,0.00301,0.00336,0.00345,0.00336,0.00309,0.00306,0.00375,0.00298,0.00325,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0076,0.00816,0.00741,0.008,0.00804,0.00801,0.00753,0.00749,0.00855,0.00737,0.00784,0.00739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.00912,0.00968,0.00877,0.00973,0.00994,0.00972,0.009,0.00891,0.01073,0.0087,0.00941,0.00873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.00157,0.00166,0.00151,0.00167,0.0017,0.00167,0.00155,0.00153,0.00184,0.0015,0.00161,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.02171,0.02295,0.02082,0.03001,0.02391,0.02332,0.02182,0.02139,0.02441,0.02099,0.02256,0.02109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.01142,0.01209,0.01096,0.01518,0.01254,0.01225,0.01145,0.01124,0.01292,0.01102,0.01185,0.01107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.04025,0.04314,0.03947,0.04423,0.04665,0.04339,0.0404,0.04006,0.04518,0.03954,0.04187,0.03969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.00554,0.00592,0.00542,0.00616,0.00659,0.00602,0.00557,0.00551,0.00631,0.00543,0.00577,0.00545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
